case_id	feature	gene_name
PAKYZS	dna_repair.NEG.14	dna_repair
PAITCI	dna_repair.POS.11	dna_repair
PAPEFE	dna_repair.NEG.9	dna_repair
PAIXIF	dna_repair.NEG.4	dna_repair
PALCBW	dna_repair.NEG.10	dna_repair
PALTEG	dna_repair.POS.3	dna_repair
PAMYCE	dna_repair.NEG.11	dna_repair
PAMZGT	dna_repair.NEG.4	dna_repair
PANGXK	dna_repair.NEG.9	dna_repair
PANJLH	dna_repair.NEG.11	dna_repair
PANKFE	dna_repair.NEG.13	dna_repair
PANZPV	dna_repair.NEG.6	dna_repair
PANZVU	dna_repair.NEG.4	dna_repair
PAPBZI	dna_repair.NEG.1	dna_repair
PANBMJ	dna_repair.POS.1	dna_repair
PAPHPE	dna_repair.NEG.8	dna_repair
PAIPGU	dna_repair.POS.11	dna_repair
PALEVG	dna_repair.POS.6	dna_repair
PANRHJ	dna_repair.POS.4	dna_repair
PAPUAR	dna_repair.NEG.7	dna_repair
PAPUEB	dna_repair.POS.2	dna_repair
PAPUNH	dna_repair.NEG.2	dna_repair
PAPZYP	dna_repair.NEG.3	dna_repair
PARACM	dna_repair.NEG.11	dna_repair
PANRRW	dna_repair.NEG.12	dna_repair
PANLET	dna_repair.POS.4	dna_repair
PANRVJ	dna_repair.NEG.9	dna_repair
PANSBN	dna_repair.NEG.10	dna_repair
PANUIF	dna_repair.POS.3	dna_repair
PANWRR	dna_repair.POS.1	dna_repair
PAPBJE	dna_repair.NEG.1	dna_repair
PAPCTS	dna_repair.POS.2	dna_repair
PAPKXS	dna_repair.POS.2	dna_repair
PAPTAN	dna_repair.NEG.9	dna_repair
PAPTCR	dna_repair.NEG.13	dna_repair
PAPUWY	dna_repair.NEG.4	dna_repair
PAPVFD	dna_repair.NEG.6	dna_repair
PAPVXS	dna_repair.POS.9	dna_repair
PAPZYZ	dna_repair.NEG.4	dna_repair
PARACS	dna_repair.POS.1	dna_repair
PARAMT	dna_repair.POS.2	dna_repair
PARBGP	dna_repair.NEG.2	dna_repair
PARDIW	dna_repair.POS.1	dna_repair
PARFWB	dna_repair.POS.9	dna_repair
PARDCK	dna_repair.NEG.5	dna_repair
PARGKK	dna_repair.NEG.11	dna_repair
PARKGJ	dna_repair.POS.5	dna_repair
PARSBI	dna_repair.POS.2	dna_repair
PAIFXV	dna_repair.NEG.12	dna_repair
PARVLK	dna_repair.POS.5	dna_repair
PARYNK	dna_repair.ZERO	dna_repair
PARZIP	dna_repair.NEG.11	dna_repair
PASEGA	dna_repair.POS.6	dna_repair
PASFGG	dna_repair.POS.11	dna_repair
PASGUT	dna_repair.NEG.7	dna_repair
PASMJG	dna_repair.NEG.6	dna_repair
PASMNT	dna_repair.POS.6	dna_repair
PASNZU	dna_repair.POS.5	dna_repair
PASPER	dna_repair.NEG.5	dna_repair
PASRFS	dna_repair.NEG.3	dna_repair
PASSRS	dna_repair.POS.6	dna_repair
PASTCN	dna_repair.POS.3	dna_repair
PASTKC	dna_repair.NEG.11	dna_repair
